label,text
negative,"Бляяя бесит: пишешь,пишешь ,целую поэму напишешь, голову поднимаешь и видишь ,что на английском хуярил текст о бляя..."
neutral,"Опять инстаграм, Ма?! 😳"
positive,Теперь и у нас есть!!!
neutral,делаю людей уникальными.
neutral,"[id1079400|Даша], что сделал?"
neutral,надо было идти на физфак :/
neutral,Вариация на тему Suffer bitch. Выживал и монтировал самостоятельно.
neutral,"в тему про мудаков, особенно первые слова)"
negative,"Самое ужасное - удалять из телефона смс, в которых все еще было так хорошо . . ."
neutral,спать пиздуй)
positive,"вот фотка-идеал:
Йен+лабродор))))"
neutral,"Доку Умаров заявил, что поддерживает митинги на Сахарова!"
negative,"Как жаль, что память не убить. Она одна нам жизнь калечит. Как больно помнить всё и жить. С нелепой фразой ""время лечит""."
neutral,"Берегите друзей. Нет сокровища дороже, чем столько общих воспоминаний, столько тяжких часов пережитых вместе, столько ссор, примирений, душевных порывов. Друг - это тот, кому ты доверяешь как себе, потому что друг - это часть тебя."
neutral,Из его зарплаты вычтут!
positive,"Позитивчика Тебе Моя Любимая Зюзя)) Соскучилась по Тебе((((
"
neutral,Вот так мы начнем работу в понедльник:))))
neutral,Пиваса мне!!!
positive,"У каждого  должна быть своя Машка😘😘😘😘😘💋💋💋💋💖😍😍😍
У каждой Машки, должна быть своя Катюша)) 😊 ♥♥♥"
neutral,Не отставай!
neutral,как обещала)
positive,Сукаааа вот это казачки))))
neutral,"Лимит прогулок на месяц исчерпан, лол
Но бывать в новых местах всегда приятно, даже несмотря на погоду:3"
neutral,интересно здеся гиф будет ?? )))
positive,"Наконец-то я понял о чем эта песня. ""Дарит небо Ультрамарин, жарит тело адреналин""."
negative,"Полный эмоциональный ноль-это когда из-под тебя выдяргивают почву, на которой строил все свои эмоциональные состояния:надежду, радость,боль."
neutral,Трудовые будни :3
negative,"хватит уже гулять ,Даха
давай уроки делай"
negative,"Порой бывает так паршиво, Что даже чай не лезет в глотку,
А лезет в глотку только пиво, Которым запиваешь водку"
positive,"Отличный фильм по вопросу ""Бог умер?""
Называется ""Бог не умер"".

P.S. Не знаю, какой перевод, но в оригинале фильм замечательный!"
positive,А железный человек ниче такой.
neutral,она далась мне за пол часа;)
negative,"Это не человек. Это даже не мразь. Это то, чему не придумано определений"
positive,Да детка!:р
negative,"здесь все серо, убого и уныло - машины, дороги, здания, лица, одежда, небо. надо валить из рашки."
neutral,24- го возвращаюсь
neutral,"Помнишь вечер тот прекрасный,
Что провел я не напрасно?!
Заварил лапшичку густо -
Отобедал быстро вкусно.
И давал совет: Всегда
Жрать лапшу за три рубля?!

Много времени прошло,
Затерялося оно...
И теперь всем подтверждаю,
Что лапшу предпочитаю.
Кипяточком размочи -
День и ночь обедай - жри!"
positive,#Восхитительнаятренировка
neutral,"У Данила дорогой мобильник?
"
neutral,[id142379573|Ванек] кол игрушек есть
negative,"А много ли мужчин пользуются словами ""динамо"", ""слиться"", ""ломаться""? Все это немного раздражительно...Предпочитаю слово ""недотрога""."
positive,Добрата - качество сильных!
neutral,"Я прошел тест: ""Насколько Вы ревнивы?""
"
neutral,Маленький Жорик вряд ли съест надкушенную кем то конфету
positive,"Сегодня я ехал с таблетки домой, неспеша объезжая пешеходов, как обычно слушая музон в наушниках - короче еду такой на своей волне) Внезапно меня кто то хлопает по плечу, первая мысль - кто то из наших пацанов меня увидел и догнал, торможу и оборачиваюсь - меня бегом догнала девчонка лет 14, которую с подругой я несколькими секундами ранее обогнал. Выдёргиваю наушник, диалог:
- Я смотрю вы слушаете AC/DC? (на мне футболка с с этой группой)
- *прифигефши* Ну да.
- Можно пожать вам руку?!
- *улыбаясь* пожалуйста...
Пожал ей руку и поехал дальше. Что ж, подростающее поколение не перестаёт радовать =)"
positive,Коблево❤❤ @ Аквапарк Коблево 
neutral,Цены на ближайшие концерты 30-120 грн. и 40-140 грн.
neutral,"
Память освежить"
neutral,Для тебя*)
negative,"Он умер. Я чуть не расплакалась. 
А я его любила еще с самой первой части."
neutral,"""Я его толкнул, он не заплакал.Он мужик""© младший брат Глеб."
neutral,"Оказывается, я в душе – Охотник! Я всегда предельно внимателен и целеустремлен! А какой герой живет внутри тебя?
Пройдите и вы психологический тест от Discovery Channel – и станьте участником розыгрыша камеры GO PRO!"
neutral,"Приехали друзья, сняли апартаменты, думали ДР отметить по кайфу, чтоб все красиво было. В итоге:"
neutral,Готовность-90%)
neutral,Олежа Grad - Это мой стайл
positive,"FUCK YEAH!!!!! ""У 777 АН 123""!!! почти год геморроя с крэо гаи и наконец они мои!! давно так тепло на душе не было))"
neutral,"Друзья и те ,кто хочет быть другом)проголосуйте за меня!Мне очень хочется на фотосессию!"
negative,Кашель..сопли. (
neutral,а тут ты зачесываешь ирокез набок и притворяешься нормальным менеждером))) тока побриться не успел.
neutral,"Пусти покушать,видишь как я умею висеть)))"
negative,"Лучше я буду палить резину, чем тратить деньги на сигареты и прочую херню которая нас убивает."
neutral,Чаек с чабрецом и капучино👼#зож @ Морпорт Сочи
neutral,Живешь там.. и ветер тебе нашептывает..
neutral,Мой голос - за Единую Россию.
negative,"может я не с этой планеты?? почему я не могу многое понять и смириться?? почему я не могу просто молчать? молчать и терпеть. закрыть глаза и представить, что всё хорошо.
черт. никому не нужно это моё унылое гавно из головы. молча. нужно учиться жить молча. и, главное, не думать. не думать...думать не..."
neutral,Кубок Федерации. Будет наш)
neutral,"В ночь с субботы на воскресенье ночевал в лесу.
Высунулся из палатки покурить и вдруг увидел - справа от палатки горит зелёный светодиод!.. 
Не поленился, проверил - не светодиод горит, это светлячёк себе пару ищет..."
positive,"*-* обними, меня, крепко крепко солнышко =** не хочу ни на миг от тебя отдаляться=***"
positive,эт я постарался!:-D:-D:-D:-D:-D😃
neutral,Надо глянуть..
neutral,Почитаешь переводы
neutral,Муж подловил нас троих (единственное общее фото нас :((( )
neutral,Чет меня обратно потащило жаль что наконец то руоф закрыли....не помнишь как ты меня на полтора года закрыл в этой игре?))))
neutral,"Все девушки козы и
хотят от мужиков
только секса =)"
negative,"Твой кошак обосцал мою машину, сука))) Прям на воздуховод, воняет теперь)))"
neutral,Скоро во всех кинотеатрах страны
neutral,"Репитиция   в органывации: Инвалиды,  надежды в будующее))))))"
neutral,А я кому-то нужен??
positive,"Ты мой ребенок, мой друг, мой брат"
positive,люблю твой фотостатус.*)
positive,"Блин, я попала... Влюбилась..."
positive,Пацаны ваще ребята:)
positive,"писатель: Лукьянова Екатерина)
читать всем))))"
neutral,Стасян) слушай а твои альбомы с инета фотки скачены?
positive,Наконец-то!
neutral,"ДЕВОЧКИ,СОБИРАЕМ КОРОБ!!!! ФОРСЫ НАЙК!!! ВЕСНА! НЕ ЖДЕМ ПОВЫШЕНИЯ ЦЕН, ГОТОВИМСЯ К ВЕСНЕ ЗАРАНЕЕ!!!
ВНИМАНИЕ!!!! ПРЕДОПЛАТА 200 РУБ!
36/37/38/38/39/39/40/41
МАЛОМЕРЯТ НА РАЗМЕР!"
neutral,Вспомни школу)))и Вайнбранда
neutral,хай чувак . Я же говарил то что в общягу переезжаю :-( счас незнаю когда в кс зайду. :-) как дела то ?
positive,"бля, кароч сегодня из москвы вернулся с lamb of god. зря ты не поехал. было охуенно! слэм просто лютый, круги, стены, звук чистейший. бочка вообще нахуй проламывала грудь! аж дышал с трудом. парни ебашили как на записи. а приём был настолько горячим, что сет решили удлинить. через два с половиной часа я думал, что умру. это восторг!1"
neutral,Имеются ли у тебя неосуществленные сексуальные фантазии?)
neutral,"КЗТЗ - СХА, помним таких)"
positive,"Приходи, Тебе ВСЁ понравится!.. ;)"
neutral,Обязательно к просмотру!!!)
positive,"Буду скучать за нашими поседелками,ночными разговорами ты стал частью моей жизни возвращайся скорее тебя будет не хватать"
neutral,Знакомо ? :D
positive,"Super Master!  💪 😀 👍
Стоило мне отойти на минуту.... ))"
positive,"настоящие друзья - это те , кто могут надеть на тебя розовою жилетку , смешную шапку , сфотографировать это и угарать с тебя)))"
positive,"вот это я понимаю отношения,вот это них*я себе,расстаться на годовщину отношений....мда уж...ахахахахах)"
negative,Под последнюю аж сдохнуть хочется :/
negative,не осталось ни хрена часов!!!
positive,ИЛЮШКЕ СЕГОДНЯ 4 ГОДА!!!
negative,"Какая Нахуй Дружба? нет ее !!! 
Одни предатели кругом)))"
positive,Класно погуляли)😆😊😘
neutral,"Смотрите ""Фильм ""Вещий Олег. Обретённая быль""."
positive,Сессия закрыта!
neutral,Фотосессия🍒🍒
positive,"Трактор не смотря на ваше поражение,Вы все равно лучшие!!!"
positive,Футбол ета мая жизнь!
positive,"Вот дожился, я не смотрел телевизор уже неделю! ) И меня это радует! )))"
neutral,"Короче,  один экзамен сдали."
positive,Надеюсь на этой неделе ты будешь лучшим!чмоки)))
neutral,"Я заработал монет. Хочешь поделюсь? Для этого, жмякни ссылку: 
"
positive,ЧЕТКО * аахахах*
neutral,"слушай,а можешь объяснить, в чем прикол щелезубов?
фрейдовский подтекст увидела, но все равно не понимаю :)"
neutral,"Мишуня, ты в этой серии....."
positive,Не баба - мечта!!!
neutral,"Ребят, кто летал WIZZAIRом? Объясните мне о количестве и весе багажа-я блондиню и не понимаю, что от меня хотят и сколько можно провозить багажа, чтоб не платить? Пишите в личку. Заранее спасибо."
neutral,"  Подмосковье: Кавказец-русофоб Давид застрелил из травмата парня, который пытался его поставить на место - Правые новости - news.nswap.info"
neutral,Кому не безразлична тайна фамилии Пономарев 
negative,"Впихивание Донбасса в бандеровскую Украину вопреки массовым протестам его жителей (см. обращение 41 общественной организации Донецка к президенту РФ), является завершающим шагом на пути удушения русского восстания в Новороссии. Такое деяние отвечает интересам олигархических структур и плутократов во власти, которые организуют пиар-акции по вывихиванию мозгов обывателей.  Но есть суд народа, суд истории."
neutral,"В этом году главная группа российской тяжелой сцены Ария отмечает свое тридцатилетие. Юбилейные концерты, в которых примут участие, в том числе и бывшие участники коллектива: Кипелов, Маврин, Терентьев, Манякин, Грановский, а также симфонический оркестр «Глобалис» (дирижер Ульф Ваденбрандт), пройдут 28 и 29 ноября в московском клубе Stadium."
neutral,Приблизительно вот так делают хиты :)))))
neutral,Ахахаха Купи 4 Машины В Терминале Понятно???)))
neutral,По дороге домой))))))))))
neutral,"Мы ниразу рпо него не говорили, но вроде этот фильм по школьной программе проходят, по крайне мере книгу)"
positive,"Он самый лучший, и я его люблю)
И ты Пашу не видела)"
negative,Дану нахуй ты в армии братан?????
neutral,"Григорий, узнай всю правду о себе здесь:
 ♥♥♥  ♥♥♥"
neutral,запилим пьянку)
neutral,Что это было?
neutral,"Бронебалкон, и почти не выделяется..."
neutral,"""Не повторять!Опасно для карьеры!"":)"
positive,"Ыыы, наше заявление на развод имело номер 1666. Надо стереть из паспорта единичку :)))"
positive,Мои масенькие )))
neutral,а такая норм?
neutral,"я всегда знаю, за кого болеть;)"
neutral,И в Крыму зима*❄❄❄
neutral,"открыла учебник, прочитала вопрос, офигела, закрыла учебник :D"
positive,ооооО меня прет эта песня)
neutral,Моя Машуня
neutral,Да пусть будет чё...
negative,"Знаете как обидно, когда последние деньки лета, а ты сидишь дома , как дура и болеешь !?"
neutral,Макс Буркацкий в читальном зале на 14 этаже МГУ.
neutral,В субботу турнир по боулингу... порву вСЕХ... НАХ...
neutral,"Владимир, интересные фото. Теперь занимаетесь этим делом? У меня растут сыновья - они с ума от фокусов. У старшего слюны текут от них, да и подрабатывает немного на всяких вечерах. Очень доволен. Пока выбирает себе специальность."
neutral,тематический вечер...
positive,я тебя тоже очень сильно люблю*)
positive,Вот и вышла моя новая песня слушаем и будем на ПОЗИТИВЕ)))
positive,✔Слабое место отца - его маленькая принцесса...😍😉
negative,Зачем разжигаете войну и кровь на украине ?
neutral,"Это Том, мой учитель по йоге на Гоа. Моя первая англоязычная съемка"
positive,"обожаю этот сериал, хотя его никто не любит"
neutral,что за город-герой?
positive,"Собака- самый преданный друг и очень тяжело, когда она погибает))) Моя любимая ЛОРОЧКА)))"
positive,С днем украинской АРМИИ !!! уууииииииииииии.......)))))))))))))))
negative,ТЫ МОЖЕШЬ МНЕ НА КОНЕЦ ВИДЕО СКИНУТЬ!!!!!!!!!!!!!!
neutral,Когда докурит отец на балконе-значит мне домой возвращаться пора
positive,соотечественники о как хуячат резво
neutral,Ушла с астрал. )
positive,"Не звучит канеш тут Баннер, не его характер трека, но припев шикарен."
positive,днюха была на высоте на нереальной))
neutral,на днях одну яму в Барнауле уже заделали. Заявление по другой уже в управлении внутренних дел по г. Барнаулу. Через неделю - две пойдет много заявлений в прокуратуру если не заделают ямы на дорогах...
neutral,вот жесткий тип
neutral,"Ждемс Кряк :D
 "
neutral,!!! не посели в душе своей потребителя !!! )))
neutral,тем временем в маге
neutral,К следующему твоему приезду)
neutral,гулять идешь?)))
neutral,скоро ссесия..... :D
neutral,"И меня еще часто спрашивают, почему я так часто Империю вспоминаю. Цитата:
...Всего два поколения назад ядерный взрыв вызывал у землян меньше негодования, чем невинный дамский купальник, в античности бывший повседневным. Глядя на Рим, мы постоянно видим не то, что нужно, и не обращаем внимания на то, на что следовало бы смотреть. Мы всё время говорим о легионерах и императорах, а то и о гладиаторах и ланистах. А это была цивилизация, строившая современные водопроводы и полы с отоплением. Цивилизация, в которой девушки одевались в бикини и ходили в фитнесс. Всего сто лет назад у нас просто не было понятийного аппарата, чтобы адекватно описать её.
Полностью здесь:
"
neutral,уйду в запой...кто солидарен?)
neutral,ты живой там?
positive,молодцы какие)) такой двор позитивный)
positive,впервые попыталась нарисовать что-то в фш и это оказались делюксы. Хмм..думаю вышло неплохо..)
negative,"Устал, труды мои тяжкие, праведные....все для людей, ничего для себя..."
negative,"Чувак, ты неудачник"
positive,"[id31232979|Артур], ахаха этож я"
neutral,Блин Руля статус правда...
neutral,"каждый день в друзья ломятся 3-5 т.н. ""друга"", по виду - сущие боты. Я один такой, или начались какие-то процессы в контакте? надо бы владельцам разобраться с безопасностью... и лезут, и шлют, и ломают.."
negative,"Замкнутый круг... У меня замерзают ноги. Я надеваю тёплые носочки, а то и по две пары. Ногам становится жарко, они потеют, затем от влаги быстро остывают... и - у меня холодные  мокрые ноги в тёплых носках..."
positive,Красоточки))
neutral,"Мужское имя Вадим
ЗНАЧЕНИЕ ИМЕНИ

Древнеримское имя, означающее «здоровый». Правда, есть мнения, считающие это имя персидским; другие — древнерусским, происшедшим от слова «вадити», что означает — «сеять смуту, спорить, обвинять, клеветать».

Пхахаха в точку блеать :D"
neutral,уже знаю вашу реакцию на эту песню))))))
positive,"у Бурика днюха) радуйся, гуляй, честной народ)))"
neutral,тема Варки Мета
neutral,Роза из атласной ленты!!!
neutral,ДОРОГИЕ МОИ МОСКАЛИКИ!!! НИКТО В ПИТЕР В БЛИЖАЙШЕЕ ВРЕМЯ НЕ СОБИРАЕТСЯ?
neutral,ты не дослушаешь это..
positive,Эммм... Мило 😊
negative,БИЛЯТЬ Москвичи Приветливей чем Сука Туляки!!!! PS....ВАААААДИк!!!!
neutral,По немногу ознакамливаемся с заокеанскими университетами
neutral,"Прекрати сажать цветы в сердцах тех людей, которые не будут их поливать."
positive,Моему младшенькому сегодня пол годика) в подарок он получил... пропитку и новое покрытие)
positive,не помню выкладывал ли..но это лучшее что я нашел за пол года точно если не больше..
neutral,"Понедельник  , апельсины, интернет🍊
10 дней до НГ🎄🍾"
positive,КиШ Ведьма и осел!!! Это бомба!! Всем смотреть!!
negative,"Глупо не общаться с человеком, который тебе дорог. И неважно, что случилось. Его в любой момент может не стать. Представляешь? Навсегда. И ничего не вернёшь."
positive,Я очень жду от тебя мандарины. Давай наряжать Ёлочку вместе! 
negative,ПИЗДА Я СКУЧАЮ :С
negative,"актер,блять)))"
neutral,"Слава Богу наступил мир...политики вместе с Западными  дипломатами подписали договоренности , которые уже как минимум остановили кровопролитие. Наши девченки взяли Золото....и вроде все хорошо , однако нам предстоит еще очень многое пережить и решить нелегких проблем."
positive,Я женился!
neutral,Мс-Барса!! будет жарко...
negative,"Вот же гады, Германику не пустили в кино"
neutral,"меня реал так качает, ничего лучше ты еще не слышала!"
negative,"Родной мой.........я никогда тебя не забуду, не на минутку ...ты  был самым самым хорошим человеком ((самый добрый, жизнерадостный, искренний, любимый....
Всегда будешь в моем сердце....
Вечная память..."
negative,когда же покажут нормальные игры(
positive,Красотка мамина!!!!
neutral,с кем то просто строишь отношения а за кого просто замуж выходишь))))))))
neutral,какой курс ада к жёлтой краске
neutral,"а вы что думали? почему такой дождь, через час конец света!!:)"
neutral,"без мышки шедевры изобразить не могу.
довольствуйся тем, что есть)"
neutral,"В продаже платье Lakbi, цвет, как на фото, размер 46. Цена 1000 грн. Альбом в наличии "
negative,"нет ну почему, если болеть то в выходные??вылечите меня блин!"
neutral,"итак! обращаюсь ко всей 4-й группе кто завтра не идет в лицей,из-за того что он болеет???!"
positive,Самодельная вкусная какашуня))) забыла дописать:по рецепту представленному ниже)))
negative,Творческий кризис...
neutral,чем заняться? Ваши предложения. Поедем куда угодно:) звоните и пишите:)
positive,Дорогая :***
neutral,Вроде бы 2 класс😊☺
negative,как олесю то обматерили
positive,К лассная авка*))
neutral,Архив журнала | D Y S T O P I A
positive,Ааауеее)) По-моему он отличен был в этом платье и чулках))) Отличная энергетика)) даже от трех его песен) я довольна)))) ее
positive,сильная песня.
neutral,Просто мы👭💜
neutral,На досуге людей убиваю. Таки вот дела!
neutral,Алексей Шпомер: «Алкоголь — это генетическое оружие»
positive,"джорджо скоро лоло приходит,загудим"
neutral,все предпосылки к появлению смерча )
neutral,"Об этих людях в слух не говорят!
Их знает разум и душа.
Не важен пол, не важен рост,
Не важно если нету ни гроша.

Их помнят и благодарят!
Они с тобой даже вдали.
В них полный смысл слова БРАТ,
А коль не так - братишка извини.
 (Антон Ракша)"
positive,"Сходил тут на субботник к Арише в садик! Мелочь но приятно! Я походу единственный папа, из тех кто пришол!))"
positive,Дрессирую кошку :)
neutral,Собираем рюкзачок )
negative,"8 июля День Петра и Февронии -День семьи, любви и верности!Мы же православные!Хватит праздновать всякую херь. (с)"
positive,"на работу не пошел и начал утро с зарядки
давно не ощущал такой бодрости с утра"
neutral,"Раньше было как-то так,а теперь вот ТАК вот)))))"
negative,"что то чем больше смотрю, тем больше убеждаюсь, что мусульманам не место на территории славян. пошли бы они дружно все нахуй. и всех черножопых ссобой прихватили"
neutral,как встретили так и проведёте)
neutral,"Я узнал Кто ты из фильма Три мушкетера
"
neutral,как то так.
neutral,вылитый ты
positive,я бесспорно хороша!
neutral,"Блин, Девы.. Не грустите.. Вам срочно нужно душевное тепло, крепкие объятия и немножко вискарика для дезинфекции сердечных ран..)))"
neutral,Ну что все запаслись свечками? Все готовы к сегодняшней ночке? Тогда начинаем! Ждать осталось немного больше 5-ти часов!)))) Поехали!
negative,"ОН ТОТ,про кого Я некогда несмагу сказать ''бивший''..."
positive,Сьогоднишня рибалка удалась на ура
neutral,я только эту смотрел. остальные потом посмотрю. вот все
neutral,Выстрел из дробовика в голову...
positive,"Я хоть и распиздяй,но душа у меня охуенная...."
neutral,кысочки Кутузова)
negative,":(

..Июньские зори, июльские полдни, августовские вечера — все прошло, кончилось, ушло навсегда и осталось только в памяти. Теперь впереди долгая осень, белая зима, прохладная зеленеющая весна и за это время
нужно обдумать минувшее лето и подвести итог..."
neutral,К чёрту систему=)
neutral,Солнышко моё тебе сдесь не скучно?:-)
negative,"Йа заболевшее пингвене >.<
Придется поездку в Буковель перенести на завтра. А то и на послезватра..."
positive,Еще совсе чуть-чуть и я буду у тебя в объятиях радость моя 😚
neutral,"Хочу такую зиму, чтоб не было времени для интернета."
negative,"Знаешь, зай, бывает обидно, когда говорят за глаза, но по глазам это видно..."
positive,самый лучший дееень:*
neutral,"18 декабря едим в приэльбрусье, подробности "
neutral,не сдай экзамены и мечта исполниться :D
positive,Купаюсь в Ванной с уточками под Монгольский рэпачок :) Уточки сука в шоке ЫЫыы
positive,"Девченки, есть фото со мной и Викуськой:)) смотрите!!!"
neutral,Статус жжет как то своеобразно и при чем тут рай?
negative,"Я странная девушка: я ненавижу алкоголь, но напиваюсь с подругами.. я ненавижу вранье, но я вру во имя добра.. а еще я ненавижу придурков.. но почему-то именно в них я и влюбляюсь"
positive,такое настроение....жир...
neutral,Любителям рэпа.
neutral,"Женская логика - 'Лучше по-хорошему скажи, иначе я сама додумаю, хуже будет!'"
neutral,"Поскольку мы часто полагаемся на соб­ственную проницательность, мы легко ста­новимся корыстолюбивыми, не прислуши­ваемся к голосу разума, и тогда события принимают далеко не лучший оборот. Люди видят, насколько ограничены и недостойны наши устремления.

Поэтому, если в рассуждениях тебе труд­но быть беспристрастным, следует обратиться за советом к более опытному чело­веку. Этот человек следует Пути в той мере, в которой он способен давать простые и искренние советы, не руководствуясь при этом личными интересами. Его суждения будут казаться окружающим совсем не беспочвенными. Разум такого человека можно уподобить дереву со многими корнями. И в то же время мы часто встречаем людей, умственные способности которых напомина­ют воткнутую в землю палку."
negative,"Вчера случилась какая-то фигня, глупая, бессмысленная, идиотская и, в то же время, странная и непонятная."
negative,"Спи спокойно, дорогой товарищ! Сколько славных минут ты нам подарил. Pax vobiscum"
neutral,"Дамы и господа, сегодня первый полу- финальный матч , Бавария :Барселона . приятного просмотра"
neutral,А вы любите собирать грибы?
positive,Эта песня ассоциируется с тобой :*
neutral,"Аграновский,почти что твоя дача!"
neutral,"Лёша, хочу познакомить тебя со своей подругой! Она тебе понравится. Узнай кто это: "
positive,балта рулит
positive,АААААААААА!!!!!!!!!!Снег!...Снег!!Снежочек!!!...)))
negative,"Тот, кто уезжает - ему всегда легче,проще. Потому что тот, кто остается все время находит за что ухватиться: вот эти же улицы, но в них нет этого человека, вот ваша песня, но ты не знаешь слушает тот человек или нет, не будет больше никакиих сообщениях, совместного смеха. Уехавший всегда знадет чем заняться в другом городе, а ты так и будешь сидеть в пустоте и думать о том ""кому я теперь нужен""."
neutral,Припев цени)
positive,Люблю и скучаю за тобой моя подружка)))
negative,"долбоёбы у нас во дворе поставили коробку, повесили баскетбольные щиты так, что провод освещения перекрывает кольцо. пиздец, блять. играйте, детишки, развивайтесь "
