text,label,id,y_true,pred_classical,pred_bert,pred_hybrid,classical_correct,bert_correct,hybrid_correct,group,error_reason,comment
«СМУ-6 Инвестиции»: Успей купить – последние квартиры в ЖК «Любовь и Голуби»: Реализация проекта «Любовь и Голуби» вышла на «финишную…,neutral,1212299931064700928,neutral,neutral,positive,neutral,True,False,True,only_bert_wrong,неоднозначный контекст,"Рекламно-информационный текст содержит позитивно окрашенные слова («Успей», «Любовь»), из-за чего BERT дал positive вместо neutral."
@lostgalaxy8 Если что мне не сложно 👀,neutral,1236193664579366912,neutral,neutral,negative,neutral,True,False,True,only_bert_wrong,неоднозначный контекст,"Фраза нейтральная, но из-за неполного диалога и эмодзи модель могла считать её эмоционально окрашенной."
"Помогите выбрать лучшего игрока в октябре! Голосуйте по ссылке ⚡️

https://t.co/cvvsUxzwhW https://t.co/JJ2dLlSNxP",neutral,1321073303910494208,neutral,neutral,positive,neutral,True,False,True,only_bert_wrong,неоднозначный контекст,"Призыв к голосованию и эмодзи-молния создают позитивный/активный тон, хотя текст информационный."
"@EKriskevich 17 лет, лучшие годы сейчас, не понимаю этой романтики по ностальгии",neutral,1223268480620863488,neutral,neutral,positive,neutral,True,False,True,only_bert_wrong,смешанная эмоциональная окраска,"Фраза содержит позитивный маркер «лучшие годы» и отрицание/несогласие; итоговый смысл ближе к нейтральному, но BERT выбрал positive."
@AngelNeo4 Нет я софт😔,neutral,1343226090916110339,neutral,neutral,positive,neutral,True,False,True,only_bert_wrong,сленг / нестандартное написание,Короткая сленговая реплика с грустным эмодзи; модель могла неверно интерпретировать эмоциональный сигнал.
"Вроде бы классно не заходить в соц.сети подолгу, но так лень потом читать и перечитывать что было в ленте",neutral,1223022149126017024,neutral,neutral,negative,neutral,True,False,True,only_bert_wrong,смешанная эмоциональная окраска,"Есть положительная часть («классно») и отрицательная («лень читать»); BERT выбрал негатив, хотя общий класс нейтральный."
"@meh_seven Мы никогда не найдем ответ на этот вопрос...
...ПОТОМУ ЧТО ЭТО ОТ НАЧАЛА ДО КОНЦА НАГЛАЯ ЛОЖЬ!",negative,1270763126561087489,negative,negative,neutral,negative,True,False,True,only_bert_wrong,неявно выраженная эмоциональная окраска,"Негатив есть в выражении «наглая ложь», но длинная цитатная/риторическая конструкция могла сгладить его для BERT."
@_toorushka_ хей 😼,neutral,1335950294656708609,neutral,neutral,positive,neutral,True,False,True,only_bert_wrong,недостаточный контекст из-за краткости текста,Очень короткое приветствие с эмодзи; BERT мог принять его за позитивное из-за эмоционального маркера.
@dofvmin Опять работать:(,negative,1319749170530570240,negative,negative,neutral,negative,True,False,True,only_bert_wrong,недостаточный контекст из-за краткости текста,Негатив выражен коротко через «Опять работать:(»; при малом контексте BERT мог занизить эмоциональность.
боже думала никогда больше не вернусь в свой универ и вот я снова здесь потому что нужно для подружки сдать все документы для защиты диплома,negative,1308371655362777089,negative,negative,neutral,negative,True,False,True,only_bert_wrong,неявно выраженная эмоциональная окраска,"Негатив связан с ситуационной усталостью и нежеланием возвращаться в университет, но выражен без прямой грубой оценки."
"@exollskx да-да,щас прям мы тебя и отпустили,ага",neutral,1321721231578669057,neutral,positive,negative,neutral,False,False,True,both_wrong_hybrid_correct,сарказм / ирония,"Саркастическая реплика («да-да, щас прям..., ага») дала противоположные сигналы базовым моделям; hybrid сгладил ошибку."
@chan_boobooo Бб крем-пальцами.. 🤡,neutral,1278421938227027968,neutral,negative,positive,neutral,False,False,True,both_wrong_hybrid_correct,неоднозначный контекст,Короткая фраза с эмодзи-клоуном и бытовым контекстом допускает разные эмоциональные трактовки.
"@newnightmr Жиза жесть. Только у меня даже цвет волос не меняется всё такая же с класса так 6-ого :"""")",positive,1327750447139065858,positive,negative,neutral,positive,False,False,True,both_wrong_hybrid_correct,смешанная эмоциональная окраска,"Позитив/солидарность выражены через сленг, но слова «жесть» и кавычки создают негативно-нейтральные сигналы для моделей."
я считаю это мем года https://t.co/xoVKj5y8Mj,positive,1218052288964632576,positive,neutral,neutral,neutral,False,False,False,all_wrong,неявно выраженная эмоциональная окраска,"Позитивность выражена через оценку «мем года», но без явных эмоциональных слов модели сочли текст нейтральным."
"ян русский на сотку все запятые где надо🤙🏻👍🏻👍🏻👍🏻👍🏻
я ещё сидел думал чо не так с этим твитом",positive,1212859589592539136,positive,neutral,neutral,neutral,False,False,False,all_wrong,сленг / нестандартное написание,"Позитив выражен разговорно, с нестандартной пунктуацией и эмодзи; модели не уловили похвалу."
@Oppocum09 У нас в столовке лудшая греча с мясом,positive,1342081746351902722,positive,neutral,neutral,neutral,False,False,False,all_wrong,сленг / нестандартное написание,"Позитивный смысл скрыт в разговорной форме и ошибке/стилизации «лудшая», поэтому модели дали neutral."
@ineedanescap Волнуемся🤗,positive,1299341348181626882,positive,neutral,neutral,neutral,False,False,False,all_wrong,недостаточный контекст из-за краткости текста,"Короткая фраза «Волнуемся» с эмодзи может означать поддержку, тревогу или нейтральное сообщение; без контекста позитивность неочевидна."
Вот и чудно.,positive,1278328476572037121,positive,neutral,negative,negative,False,False,False,all_wrong,недостаточный контекст из-за краткости текста,Очень короткое высказывание; позитивная оценка «чудно» может восприниматься как нейтральная или ироничная.
"По словам разработчиков, эффективность российского препарата выше 80%.",positive,1271081922987425793,positive,neutral,neutral,neutral,False,False,False,all_wrong,неявно выраженная эмоциональная окраска,"Позитивность связана с фактическим сообщением об эффективности препарата, но текст оформлен как нейтральная новость."
@flufairii как же секси скажии,positive,1337310822020870144,positive,neutral,neutral,neutral,False,False,False,all_wrong,сленг / нестандартное написание,"Позитив/восхищение выражены сленгово («секси», «скажии»), что модели могли не распознать."
@niemalsnoch @veritas_z ну кто ты и кто залина. камон,negative,1222530329229103106,negative,neutral,neutral,neutral,False,False,False,all_wrong,неоднозначный контекст,"Негатив/пренебрежение выражены через контекст диалога и разговорное «камон», без явной оценочной лексики."
"НЕ НУ ВЫ ВИДЕЛИ ЧЕ ТВОРЯТ???

#NCT127 #Punch
#NCT127_Punch
#NeoZone_TheFinalRound",negative,1262762680416256000,negative,neutral,neutral,neutral,False,False,False,all_wrong,сленг / нестандартное написание,"Капс, фандомные теги и эмоциональная реакция без явного объекта оценки затруднили определение негативного класса."
💢Кто и что вас бесит?💢😾,neutral,1310166670640586752,neutral,negative,negative,negative,False,False,False,all_wrong,неоднозначный контекст,"Текст является вопросом/опросом про раздражение; негативные слова описывают тему, а не обязательно эмоцию автора."
@vova_kovynev @mexelmexel @quintocolumno1 моргалы выколю https://t.co/XcxE9XXzd9,negative,1237800280131076097,negative,neutral,neutral,neutral,False,False,False,all_wrong,сленг / нестандартное написание,"Негатив выражен разговорной угрозой («моргалы выколю»), которую модели могли воспринять как нейтральную реплику."
самый сильный аргумент educate yourself 👍 используйте почаще 👍,positive,1281210475104043008,positive,neutral,neutral,neutral,False,False,False,all_wrong,сарказм / ирония,Позитивные эмодзи и формула совета могут быть саркастичными; модели восприняли текст как нейтральный.
Релиз альбома SuperM меня почему-то вогнал в уныние. Ещё больше захотелось увидеть ЕХО всех вместе...,neutral,1309441752303050752,neutral,negative,negative,negative,False,False,False,all_wrong,смешанная эмоциональная окраска,"Разметка neutral, но текст содержит явные негативные слова («вогнал в уныние»); возможна смешанная оценка или спорность разметки."
"@J3EhcJjfgGsGQ83 @M_Borzykin При чем тут удар в лицо. Он не играл в мяч, умвшленный удар по ногам.",neutral,1287308733069090817,neutral,negative,negative,negative,False,False,False,all_wrong,неоднозначный контекст,"Спортивный/дискуссионный контекст содержит слова про удар и нарушение, из-за чего модели дали negative вместо neutral."
@vassural Молодцы кубинцы. А мы их в 90ых предали.,positive,1308688149124648961,positive,negative,negative,negative,False,False,False,all_wrong,смешанная эмоциональная окраска,"Есть позитивная похвала «Молодцы кубинцы», но затем сильный негатив «мы их предали»; модели сфокусировались на негативной части."
