text,label,id,y_true,pred_classical,pred_bert,pred_hybrid,classical_correct,bert_correct,hybrid_correct
ну да ну свадьба с учителем среди мертвяков че сразу тьфу-то... https://t.co/u6J6hAxSzc,negative,1288866363369500672,negative,neutral,negative,negative,False,True,True
"@lIl__muna__ @kpop_asiangirl хех, я просто объяснил матушке, что использую маты для придания большей эмоциональной окраски своей речи.",neutral,1285318355466039301,neutral,negative,neutral,neutral,False,True,True
@taefuckmeplz @tinklli СТОП ЧТО Я ДУМАЛА ПРО МЕНЯ,neutral,1297298382399197185,neutral,negative,neutral,neutral,False,True,True
"@StalinGulag Белорусский уголовник получил по заслугам.Придёт время и ты своё получишь.Тоже по заслугам,недобитый власовец...",negative,1294241762391871489,negative,neutral,negative,negative,False,True,True
"- встретим конец света вместе 
- ты настоящий романтик

слова которые хочет услышать каждая женщина",positive,1312095400363425793,positive,neutral,positive,positive,False,True,True
вот это конечно я много взаимодействую https://t.co/IltOmVYBmm,neutral,1324773535651401730,neutral,positive,neutral,neutral,False,True,True
@moonammin чонгука 190811 не существует ясно.,neutral,1257801129171304448,neutral,negative,neutral,neutral,False,True,True
"Тот факт,что у меня в закладках только порно и стихи Блока не может не радовать 😌🚬",positive,1313109918640111617,positive,neutral,positive,positive,False,True,True
@fly_with_a_wind я те отвечаю это всё окн виноват https://t.co/it0clUYEcO,negative,1304543178540953600,negative,neutral,negative,negative,False,True,True
"@kristinaboyar Ты чего фигню всякую постишь, где #нюдсочетверг ?",negative,1281177705019572228,negative,neutral,negative,negative,False,True,True
@erichshutup мы разбудили монстра,negative,1269566076389638145,negative,neutral,negative,negative,False,True,True
@xginniez даш у меня челка 😭😭,positive,1252995371145494528,positive,neutral,positive,positive,False,True,True
"@bpstan24365 А мне кажется, оно максимально отстойное, там очень много тем именно по войне, а я такое не люблю",negative,1320729723274747906,negative,positive,negative,negative,False,True,True
"@luutoshi плюс два года еще и угадала, 22 😌",positive,1343833270925090821,positive,neutral,positive,positive,False,True,True
Как же хочется пивка,positive,1266802659203461120,positive,negative,positive,positive,False,True,True
у меня не получается научить ричи голосу потому что он не гавкает на вкусняшки :),positive,1259054039054061569,positive,neutral,positive,positive,False,True,True
"сегодня отец спросил "" какая от тебя польза?"" 

ну что ж, действительно, какая от меня вообще польза?",negative,1319726324156649473,negative,positive,negative,negative,False,True,True
"Хочу собственный дом, как минимум, для того, чтобы моя собаченька могла резвиться на заднем дворе, когда ей захочется ❤",positive,1326009827739529217,positive,negative,positive,positive,False,True,True
@SensitivePorn Классик,neutral,1213442992146657282,neutral,positive,neutral,neutral,False,True,True
"Ресницы наращиваю только на август 🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️🤷🏻‍♀️
Второй год подряд",neutral,1288797429962285057,neutral,negative,neutral,neutral,False,True,True
@cuggxa Мы так и делаем. Когда сами видим.,neutral,1220716582164475906,neutral,negative,neutral,neutral,False,True,True
СЧАСТЛИВ???? ДА У НЕГО ВСЯ ЖИЗНЬ ПЕРЕД ГЛАЗАМИ ПРОЛЕТЕЛА ВЫ https://t.co/JDYKMaBsrP,negative,1268570457659375617,negative,neutral,negative,negative,False,True,True
@tass_agency 750 миллионов в минуту !,neutral,1252225305315606529,neutral,negative,neutral,neutral,False,True,True
@kkkkkkkkkkkk38 @ododecembriste Я ЖЕ ГОВОРЮ НЕ СЛУШОЙ,negative,1245831919310340096,negative,neutral,negative,negative,False,True,True
@rentvchannel Неубиваемое яблоко?),neutral,1339100560922972160,neutral,negative,neutral,neutral,False,True,True
"Я сразу после того, как создал Лунара: https://t.co/JPT5uN9u3h",neutral,1337773025945669633,neutral,positive,neutral,neutral,False,True,True
В этом году начнется ремонт единственной федеральной трассы Камчатки,neutral,1223269382362750981,neutral,negative,neutral,neutral,False,True,True
"Уснул в 3, просыпался посреди ночи пару раз, потом уснул в 6 и проснулся в половину десятого.
Класс)))",positive,1254669510793220096,positive,neutral,positive,positive,False,True,True
@undeadpeach1028 у меня нет столько нервов 😄🙌,negative,1273126390360150018,negative,neutral,negative,negative,False,True,True
@tanyu_chan у них расизм -это притеснение черных. гнобить белых тупыми протестами - не расизм. он у них только в одну сторону.,negative,1339184602179645442,negative,neutral,negative,negative,False,True,True
@ne__bulochka__ Хмммммммммммм. Не знаю.,neutral,1263911638685683713,neutral,positive,neutral,neutral,False,True,True
"хочу чипсы

#NCT #NCTDREAM #JISUNG",neutral,1245261640783798272,neutral,positive,neutral,neutral,False,True,True
"@Maharinsky @tsipor_dror Порядок тоже был. Причем как больничный распорядок, так и внутри были свои групки, свои негласные правила.",neutral,1262667998197923841,neutral,negative,neutral,neutral,False,True,True
идёт какой-то массовый анфоллоу от меня или чё такое вообще¿?,negative,1214315210246361089,negative,neutral,negative,negative,False,True,True
"@hyi_so_rta Всё сбудется, и 1 и 2😁😁😁",positive,1291633500907606016,positive,negative,positive,positive,False,True,True
"люди, которые так сильно хейтят чанбэков.... что с вами не так?",negative,1334218873390960640,negative,neutral,negative,negative,False,True,True
@gogolovesme Как раз мечтаю о пирсинге😊,positive,1330715341916352513,positive,neutral,positive,positive,False,True,True
На каждом шагу мне врешь,negative,1236937583118168066,negative,neutral,negative,negative,False,True,True
@skzstanner красный,neutral,1291820743014207488,neutral,positive,neutral,neutral,False,True,True
"@BlinNika Ну ёпттвоюмать, я не буду переделывать",negative,1327313014765260800,negative,neutral,negative,negative,False,True,True
Я испекла батон ))) https://t.co/nXOqRMdXSR,positive,1258733355140513792,positive,neutral,positive,positive,False,True,True
"@Zefirni_chel ГОСПОДИ, ДА!!!",positive,1274849989244657665,positive,neutral,positive,positive,False,True,True
ура! https://t.co/0lZGaP5IAc,positive,1290333690296520706,positive,neutral,positive,positive,False,True,True
"@Dobrokhotov И главное, что это ни одного ветерана или внука ветерана не возмутит. И никакого дела о клевете не заведут.",negative,1275880324233338882,negative,neutral,negative,negative,False,True,True
"Больше всего разврата, кстати, почему-то именно там...",negative,1337895277311766528,negative,neutral,negative,negative,False,True,True
ура рисую https://t.co/LH7minnwbO,positive,1306148854597902336,positive,neutral,positive,positive,False,True,True
Моя закрытка @blockforu  приглашаю 💆🏿‍♀️,neutral,1295335171307249664,neutral,negative,neutral,neutral,False,True,True
В Ростовской области составили более 230 протоколов о нарушении режима самоизоляции за сутки — РТ на русском https://t.co/egLL82EsiH,neutral,1256248414570008578,neutral,negative,neutral,neutral,False,True,True
"@tuktuk5999 Ладно,  щетай что пришли, тока город хорошо бы?",neutral,1243634737358475271,neutral,positive,neutral,neutral,False,True,True
когда пришли мы все иноязычные испугались и ушли,negative,1261309207254573056,negative,neutral,negative,negative,False,True,True
Милота☺ #впечатляет https://t.co/vnKkRenA7W,positive,1270998867379548162,positive,neutral,positive,positive,False,True,True
@nvrwhr там все нормально они такая дисфункциональная НО СЕМЬЯ а в сериале..... трагично,negative,1218555764840812544,negative,neutral,negative,negative,False,True,True
"@Hnx5popxbHm9cca я, которая вспомнила, что краш постоянно так делает.......... oh my",neutral,1297156023535501312,neutral,positive,neutral,neutral,False,True,True
На чей концерт ты хочешь попасть? (из всех сущевствующих и уже не существующих певцов) — чемодана https://t.co/OqFY0ZMhiE,neutral,1248808751106273280,neutral,negative,neutral,neutral,False,True,True
"Продолжаем рубрику ""истина из уст окружения""
""-коронавирус - не повод писать бывшим""",neutral,1244396087420563456,neutral,negative,neutral,neutral,False,True,True
@ache_rar А ПОЗДНО УЖЕ ПОХОДУ,negative,1272927827801890816,negative,neutral,negative,negative,False,True,True
@azat166 Особенно их schawarma просто 🔥🔥🔥,positive,1333069256607535105,positive,neutral,positive,positive,False,True,True
@vvoonmi ммм обалденно,positive,1316712121107963904,positive,neutral,positive,positive,False,True,True
"Нормально отношусь ко всем людям
Кроме блять приятного ильдара",negative,1309173228770938881,negative,positive,negative,negative,False,True,True
@itssanlee ДА,neutral,1302967030409244678,neutral,negative,neutral,neutral,False,True,True
я кто.,neutral,1320371965924954112,neutral,negative,neutral,neutral,False,True,True
тред вайджи артисты как боги ЖИВЫХ выступлений,positive,1244984015620374531,positive,neutral,positive,positive,False,True,True
"Коротко о том, что может быть если буду чьим-то сожителем.
Желудок на это спасибо не скажет. https://t.co/YNP9frhjoc",negative,1235026414950158337,negative,neutral,negative,negative,False,True,True
@Lolzuli_70 &gt;норм ответа. жопосракоебная букашка была унижена видимо.,negative,1257473382049820674,negative,neutral,negative,negative,False,True,True
@satvrns_ тоже самое :(,neutral,1274785610876817409,neutral,negative,neutral,neutral,False,True,True
мне опять писать про ромашки веснушки https://t.co/jJc6GahSgj,neutral,1294626514277994497,neutral,negative,neutral,neutral,False,True,True
@Pak_JinHo @Wizard_Severus Ты неправа. Категорически осуждаю твою позицию.,negative,1260781320571101184,negative,neutral,negative,negative,False,True,True
@Funt0m1 @lov_in_ya Вот вам реально друг с другом повезло,positive,1305236509596024837,positive,neutral,positive,positive,False,True,True
я слаба..... https://t.co/UgZOGFprQZ,negative,1293294432696008708,negative,neutral,negative,negative,False,True,True
‼️Я пошутил‼️,positive,1290946595530452992,positive,neutral,positive,positive,False,True,True
"@nikola_skeij @erebusodora Хуже когда объективно можно отправить на удаленку, но начальство - мудаки =/ *звуки собирания на работу*",negative,1243025816692363264,negative,neutral,negative,negative,False,True,True
"@natal_evna все прекрасны 💙
но по настроению я чаще всего ричард, что-то напевающий себе на english, пока иду по делам",positive,1301517193738358784,positive,negative,positive,positive,False,True,True
Любовь — это битва. Заранее проигранная. https://t.co/YWzG9aJITp,negative,1256649176147988480,negative,neutral,negative,negative,False,True,True
Пишу сочинение по обществу сравнила экономику и иисуса,neutral,1306652611454676993,neutral,negative,neutral,neutral,False,True,True
Это было 2 года назад но блять КРИНЖ??????????????,negative,1271515949586407425,negative,neutral,negative,negative,False,True,True
@zadolbalavata @MenSL Почти) играл в приставку у соседей сёстры пишет родитель,neutral,1215920210978508800,neutral,negative,neutral,neutral,False,True,True
"Блять кто-нибудь тут знает, это так работает? https://t.co/GKqVK7b6iG",negative,1304780701963780096,negative,neutral,negative,negative,False,True,True
"Я чувствую как качается пресс
Кашель и у тебя пресс круче , чем у качков",positive,1217509311129227266,positive,negative,positive,positive,False,True,True
@topcitat А дожка дегтя испортит бояку меда..,negative,1307344684189130753,negative,neutral,negative,negative,False,True,True
в моей ленте инст█грам до сих пор ничего не запостили после этого... https://t.co/ykSNJlxkhi,negative,1237587477956669442,negative,neutral,negative,negative,False,True,True
@Spasite_makne гуд лак 💜,positive,1268435388495994882,positive,neutral,positive,positive,False,True,True
@hzn_pedro одиноким*,neutral,1316376425809817600,neutral,negative,neutral,neutral,False,True,True
теперь это моя любимая фотография 🥺💘 https://t.co/ky5ojMCC6v,positive,1332953070188310529,positive,neutral,positive,positive,False,True,True
@_Fashington @Fake_MIDRF не слышу никаких криков только ропот о новых лишениях и изощренных методах отъема денег и будущего,negative,1217448049133395970,negative,neutral,negative,negative,False,True,True
"@ghInDmF3EigusG0 Хорошо, извините.",neutral,1317508682364715010,neutral,positive,neutral,neutral,False,True,True
@tvoi_bread У меня больше рекорд без сна я уверен ----_----,neutral,1309160591362322435,neutral,negative,neutral,neutral,False,True,True
"@SWAnime_pot Нет спасиба 
Мне волосы еще нужны",negative,1251703357707882496,negative,positive,negative,negative,False,True,True
"@omsooqchan ай, половину смотрел :D (долан, уитнейл, о бой)
за остальное спасибо! оно в основном чуть-чуть не на те темы, но в целом даа",positive,1262726575835021312,positive,neutral,positive,positive,False,True,True
@oliin4 обманщица,negative,1291027633686425605,negative,neutral,negative,negative,False,True,True
@fucking_sayuri Мразотненько(,negative,1275766478244122624,negative,neutral,negative,negative,False,True,True
@panevin_ru Давить на жалость как-то унизительно,negative,1218414475516268545,negative,neutral,negative,negative,False,True,True
В любом случае мы все психи,negative,1280607258703998980,negative,positive,negative,negative,False,True,True
@makeitdalia диэнэй?? то время плюс минус,neutral,1323027186874540033,neutral,negative,neutral,neutral,False,True,True
@fizzzzzzzzzzz_0 а че это,neutral,1310159271892602880,neutral,negative,neutral,neutral,False,True,True
@Mystery_Pug Ага. Высотки Влэдика,neutral,1309410630571560961,neutral,positive,neutral,neutral,False,True,True
"Меня задобрили только что испечённым клубничным бисквитом
Ладно, это лучшее, что я ела в новом году",positive,1218526975100321799,positive,neutral,positive,positive,False,True,True
@grey_ship Благодарность игрокам?,neutral,1340005989521756160,neutral,positive,neutral,neutral,False,True,True
@emitersss_ и викенд к ним присоединился уважаааю,positive,1241296316430520322,positive,neutral,positive,positive,False,True,True
"Я люблю английский язык
#клубромантики https://t.co/ODoSG1umIm",positive,1301639436703334402,positive,neutral,positive,positive,False,True,True
"[vesti]  #Путин: если не будет СНВ-3, то ничто не сдержит гонку вооружений https://t.co/mbYwCxXtRZ",neutral,1212385188669472769,neutral,negative,neutral,neutral,False,True,True
мне кажется я создала шедевр,positive,1266051471902203904,positive,negative,positive,positive,False,True,True
@danissimoors @ch1llipizdrink Омг омг автор работы просто прелесть вообще я в шоке можно я их на обои поставлю прошу👉🏽👈🏽✨,positive,1314646459975954433,positive,neutral,positive,positive,False,True,True
"Ооо, что то вышло ?",neutral,1264150319761633280,neutral,negative,neutral,neutral,False,True,True
"третий день, и глаз красный с гноем 🤥",negative,1249208346634223617,negative,neutral,negative,negative,False,True,True
"@saasukeeeee Хочу сдать тест на группу крови что бы с кем-нибудь совпало вхвхвххв
Интересно же",neutral,1323243591989342209,neutral,positive,neutral,neutral,False,True,True
"@helloKittyS33 Настолько высоко пищу от милоты, что только танни это сможет услышать",positive,1237099877516980227,positive,neutral,positive,positive,False,True,True
"Какие же у нас все-таки талантливые управленцы!

анон https://t.co/V9YMIeNCJD https://t.co/3yt3ZDFMt8",positive,1272827609093636096,positive,neutral,positive,positive,False,True,True
"не говори ""лабус"", ""шпрот"", ""чурка"", ""хохол"", ""жид"" и ""бульбаш"", не будешь ""русней"" и ""лаптем""🙂",negative,1336316805543911425,negative,neutral,negative,negative,False,True,True
мы с биней тупо токсичные подружки,negative,1283104534705905666,negative,positive,negative,negative,False,True,True
"«Прекрасная работа актерского состава»: депутат Смакотин о фильме «Шугалей»
https://t.co/1IqCmHpFs7",positive,1256472516257820676,positive,neutral,positive,positive,False,True,True
"Чихнул в метро. Девушка, сидящая справа, встала и ушла в другой конец вагона. Спасибо #COVIDー19 за свободные места в вагоне!",positive,1235816311436931072,positive,negative,positive,positive,False,True,True
"Названы 30 лучших хорроров за всю историю кино:
https://t.co/9NXKFhTeHO https://t.co/07fve1z1Ju",neutral,1270543726709026818,neutral,positive,neutral,neutral,False,True,True
"— Почему ты мне не отвечал?
— Прости, я просто твоё сообщение видел",negative,1222932479121727491,negative,neutral,negative,negative,False,True,True
"""А почему ты там долдна быть? Это только для друзей"".
А ты думала, что ты уже тоже друг.
Вот так оно и бывает, девачки.",negative,1289865421412155394,negative,neutral,negative,negative,False,True,True
@brn_txt Хочется верить,neutral,1286361378194956290,neutral,negative,neutral,neutral,False,True,True
"Смотрю холостяка нового, седьмую серию
Предыдущие не смотрела
И лучше бы не смотрела и эту
Такая дичь
Но смотреть больше нечего по телеку",negative,1249404686198886401,negative,neutral,negative,negative,False,True,True
"сегодня разговривала с мошенниками, не знают, что ответить",negative,1261287333980246017,negative,neutral,negative,negative,False,True,True
@Vlad_Voy @prof_preobr Задачи у него другие были. А БВ он должен был зачистить от себя для другого недофюрера,negative,1324878405842563073,negative,neutral,negative,negative,False,True,True
"челлендж за три дня выспаться на следующие 1,5 месяца",neutral,1307768120178806784,neutral,negative,neutral,neutral,False,True,True
"@MaeboraKim А ты обнимай пока дома никого нет😂😂😂
Я ждуууу👀💕💕💕😂😂😂😂😂😂💕💕💕💕💕💕💕💕💕💕💕",positive,1238531158603898884,positive,neutral,positive,positive,False,True,True
@kQTWK2pwWHNHN2l Алёна лох,negative,1334750744675815425,negative,neutral,negative,negative,False,True,True
Оскар за лучшее начало фильма! Оскар им! https://t.co/xX0J1Fz56p,positive,1228328870639697920,positive,neutral,positive,positive,False,True,True
"@nezhdalisuki @oqUmQ5ezZWgcBvw Эту тоже, похоже, били по голове",negative,1272781538887942150,negative,neutral,negative,negative,False,True,True
@NSemirad Каждой веснушке поцелуй от капитана?🥰 А глаза его сапфировые на загорелой коже ещё ярче смотрятся,positive,1293249339721158656,positive,neutral,positive,positive,False,True,True
@cute_dolboeb я тоже надеюсь потому что в следующий раз когда я снова позвоню отцу чтобы он сходил в магазин он просто не ответит на звонок,neutral,1229383209592459264,neutral,negative,neutral,neutral,False,True,True
@_neshli_ КАКОЙ БОЛЬШОЙ 🥺,positive,1312063804692484101,positive,neutral,positive,positive,False,True,True
@rauwvaness щас будут разборки. 🗿,negative,1261054604617437184,negative,neutral,negative,negative,False,True,True
Антон мне кажется это не совсем то https://t.co/UhmfAf6jZE,neutral,1269382621701836802,neutral,negative,neutral,neutral,False,True,True
"@hellismesuka Прости,но я и сам для себя сладость https://t.co/KuxLRPS2xE",positive,1262345884018360322,positive,neutral,positive,positive,False,True,True
@stylishasshole сектор блядский цирк на барабане https://t.co/50uI7mZdvg,negative,1308704485942923266,negative,neutral,negative,negative,False,True,True
@gladkih_m @AlekseyCvetkov @Akapandai Я один раз кухню взорвал. Повезло и пострадали только волосы и немного кожа на лице,negative,1343088438053113856,negative,positive,negative,negative,False,True,True
"@ElinaAli28 @SvobodaRadio И конечно же, сейчас мы увидим пруфы.",neutral,1221727669466943488,neutral,negative,neutral,neutral,False,True,True
@0xothik @Badou_N Хотя называть КСовскую систему накопления на любимый лодаут по моему жирно.,negative,1250547617269940224,negative,neutral,negative,negative,False,True,True
@jjp7for7 @serovolkislife @byulsse @314CYACHUU ясно сворачиваемся авторка потеряла память,negative,1251974007789957126,negative,neutral,negative,negative,False,True,True
"@Lapsa141 Ладно, сейчас удал свой пост в твиттере. Это был крик  души. И приближающийся ПМС",negative,1338552046606299143,negative,neutral,negative,negative,False,True,True
@limitless_is_u тяжела жизнь когда у тебя где-то по два-три биаса в одной группе(( https://t.co/38wV8ScVge,negative,1248248748607561728,negative,neutral,negative,negative,False,True,True
@NatashaChernika Все вышло неплохо,positive,1342533254814040067,positive,negative,positive,positive,False,True,True
"Ну че, ТИНДЕР, ГОТОВЬСЯ 😉😉😉
Поставила фильтр на девушек, наслаждаюсь https://t.co/3gKYhFZAt3",positive,1219291110205526018,positive,neutral,positive,positive,False,True,True
@hihihahant Я тоже🤝,positive,1304005435226230785,positive,neutral,positive,positive,False,True,True
в группе Нервы состоит реинкарнация Маяковского,neutral,1233820208625836032,neutral,negative,neutral,neutral,False,True,True
кто-нибудь спасите меня от ютьюба,negative,1245343039641526275,negative,positive,negative,negative,False,True,True
Как прекратить есть сладкое https://t.co/2h43fpV4GO,neutral,1305147380606668800,neutral,positive,neutral,neutral,False,True,True
@IrinaYushko @BX3MJBDJfpBGb8W Про слизняков и мокриц? Сейчас они больше на гиен и шакалов походят.,negative,1270338092549967874,negative,neutral,negative,negative,False,True,True
@once_1D Не против если я сейчас в дм скину? Хахахвхаха,neutral,1301227744806699008,neutral,positive,neutral,neutral,False,True,True
я задыхаюсь https://t.co/EZUCs3VKal,negative,1230546118150443009,negative,neutral,negative,negative,False,True,True
"вижу DAY6 автоматически ставлю лайк, особенно если это моя любимая песня💜 https://t.co/lBMcwxl2nY",positive,1343543419369639937,positive,neutral,positive,positive,False,True,True
@Waggle_ua А зачем он сейчас нужен? Вроде ж бекапы уже в облако это самое,neutral,1259540251162402822,neutral,negative,neutral,neutral,False,True,True
Настойка Из Кедровых Орехов — Средство От Всех Болезней https://t.co/1a6PvQC6ox,neutral,1314467119900381184,neutral,negative,neutral,neutral,False,True,True
Это я заказываю ваши унижения Аллаху и я же должна же увидеть #кинотеатраллахаилолиты его дочка: https://t.co/GK04ftAqQA,negative,1280862641481809923,negative,neutral,negative,negative,False,True,True
@SEv1QCcHcG5B48M Прям как мы,neutral,1213774820292386816,neutral,negative,neutral,neutral,False,True,True
"@fu_ri_ya А, самое главное, я подписался на любимых актрис, где как не там можно их фото в одной куче смотреть и о новых узнавать)",positive,1262074269292429312,positive,neutral,positive,positive,False,True,True
"@your_luciferr Да кусай, ей Богу 
Можешь даже наступить 🗿 🚬",negative,1294024589723471873,negative,neutral,negative,negative,False,True,True
"Выбираюсь раз в неделю на улицу, чтобы выяснить что люди все ещё существуют",neutral,1341060731119276032,neutral,negative,neutral,neutral,False,True,True
"@sshskpn Кто ты, если на тебя даже гнойный подписан? С ним затусуй лол",negative,1338580106483294208,negative,positive,negative,negative,False,True,True
"сначала аниме пересмотрю, потом буду перечитывать мангу",neutral,1318837370754633729,neutral,positive,neutral,neutral,False,True,True
"я не знаю??? возможно она не так поняла что я имею ввиду, но кидаться на меня что обосралась ну типо? ты норм вообще",negative,1262515786914181123,negative,neutral,negative,negative,False,True,True
тоже что ли вашу эту тайскую дораму начать,neutral,1252278686222598146,neutral,negative,neutral,neutral,False,True,True
"@Viliya_1275 мне с тобой очень комфортно общатся 🥺🥺💚и интересно ,тебе есть что рассказать",positive,1336878787733188616,positive,neutral,positive,positive,False,True,True
"@chimdilin_7 Чтобы получить аттестат и уйти из этого ада, нужно ещё 3 круга ада пройти…как будто 9-ти было мало😑",negative,1272667806119735300,negative,neutral,negative,negative,False,True,True
"все там кого-то отмечают, аж как-то не по себе
просто я лохушка да и у меня такого не было, ахахаха",negative,1307613056743206912,negative,positive,negative,negative,False,True,True
Теперь я хриплю шиплю и гроулю для полноты картины осталось только научиться харкать кровью,negative,1304466041083490304,negative,neutral,negative,negative,False,True,True
@Capt_Pereira И не боятся обосраться от разведённого кипятка водой из под крана.🤣🤣🤣,negative,1236284366399188994,negative,neutral,negative,negative,False,True,True
@Linaaaaaaa_0696 Так как я тоже не могу,neutral,1309910419658735617,neutral,negative,neutral,neutral,False,True,True
"Киоши и внезапные открытия: император мудак оказался всего лишь подростком, спасенный ими человек - буквально монстром",negative,1284543055157239809,negative,neutral,negative,negative,False,True,True
@youknow_itisya Аххаха 🤡🤡🤡,positive,1217909909125238787,positive,neutral,positive,positive,False,True,True
Пропадись всё пропадом.,negative,1293486020122628096,negative,neutral,negative,negative,False,True,True
@_just_joe_0 Еба я всё ещё жива?,neutral,1340083340867743745,neutral,negative,neutral,neutral,False,True,True
"Официально заявляю, что формат А0 это пораждение дьявола",negative,1329031928612335616,negative,neutral,negative,negative,False,True,True
@kmoo_m он плакал и просил отругать его..............,negative,1319683487725768707,negative,neutral,negative,negative,False,True,True
на жуткие жертвы приходится идти ради спасения мира https://t.co/T79jcJRc83,negative,1244338742913007618,negative,neutral,negative,negative,False,True,True
@Xeb03m05rdCIzYv Везде тату лишнее. Как клеймо раба.,negative,1258815097969016835,negative,neutral,negative,negative,False,True,True
"Поздравьте меня, я съем первый за два месяца завтрак в будний день",positive,1318762435348713472,positive,neutral,positive,positive,False,True,True
настоящая броржская дружба 🤜🏻 https://t.co/k3jl5PB6Ay,positive,1256005535033327622,positive,neutral,positive,positive,False,True,True
@valenayaspers Вышивать словами - отдельный талант),positive,1280915233838694402,positive,neutral,positive,positive,False,True,True
"пока всё, сегодня нам предстоят фрески и погружение в Суздаль",neutral,1337971638802014210,neutral,negative,neutral,neutral,False,True,True
"@moorland_bird говорит, что писала ей до зачёта и ей сказали ""всё на сайте, вы, видимо, в этот раздел слишком давно не заходили""",neutral,1274381498058235905,neutral,negative,neutral,neutral,False,True,True
"@iKorneychuk Last of Us (remaster) - первая, но не вторая? :)
а так прекрасный список же! https://t.co/62VwBBPC84",positive,1326933719656050688,positive,neutral,positive,positive,False,True,True
@musaypusya Я смотрела этот видос только из-за огромной любви к купляше 😄,positive,1246827177318002689,positive,neutral,positive,positive,False,True,True
